Entity,Year,Maize | 00000056 || Production | 005510 || tonnes
World,1961,205027230
World,1962,204876640
World,1963,220228110
World,1964,215172380
World,1965,226544130
World,1966,245599100
World,1967,272548400
World,1968,255670480
World,1969,269506000
World,1970,265831070
World,1971,313622530
World,1972,308826200
World,1973,318290370
World,1974,306427260
World,1975,341751870
World,1976,352395780
World,1977,371593280
World,1978,393600000
World,1979,418622900
World,1980,396623300
World,1981,446772400
World,1982,448932200
World,1983,347081950
World,1984,450449920
World,1985,485527230
World,1986,478176540
World,1987,453115700
World,1988,403050140
World,1989,476874400
World,1990,483387900
World,1991,494367000
World,1992,533740860
World,1993,477177760
World,1994,568614800
World,1995,517247580
World,1996,586092000
World,1997,584352960
World,1998,615021300
World,1999,607365300
World,2000,591955000
World,2001,615075200
World,2002,603468500
World,2003,644972540
World,2004,729431230
World,2005,714085700
World,2006,707811400
World,2007,793483500
World,2008,829743700
World,2009,820768060
World,2010,852646140
World,2011,887626400
World,2012,874530300
World,2013,1016585660
World,2014,1040365440
World,2015,1053773250
World,2016,1123549000
World,2017,1136477400
World,2018,1112841500
World,2019,1136920400
World,2020,1154921600
World,2021,1204689400
World,2022,1162118000
World,2023,1241557800