Entity,Code,Year,Population - Sex: all - Age: all - Variant: estimates,Population - Sex: all - Age: all - Variant: medium
World,OWID_WRL,1950,2493092801,
World,OWID_WRL,1951,2536926981,
World,OWID_WRL,1952,2584086282,
World,OWID_WRL,1953,2634106196,
World,OWID_WRL,1954,2685894824,
World,OWID_WRL,1955,2740213742,
World,OWID_WRL,1956,2795409946,
World,OWID_WRL,1957,2852618291,
World,OWID_WRL,1958,2911249598,
World,OWID_WRL,1959,2965950296,
World,OWID_WRL,1960,3015470858,
World,OWID_WRL,1961,3064869609,
World,OWID_WRL,1962,3123374259,
World,OWID_WRL,1963,3192807773,
World,OWID_WRL,1964,3264487295,
World,OWID_WRL,1965,3334533671,
World,OWID_WRL,1966,3404041061,
World,OWID_WRL,1967,3473412825,
World,OWID_WRL,1968,3545187204,
World,OWID_WRL,1969,3619491543,
World,OWID_WRL,1970,3694683753,
World,OWID_WRL,1971,3769847803,
World,OWID_WRL,1972,3844917635,
World,OWID_WRL,1973,3920804971,
World,OWID_WRL,1974,3996416050,
World,OWID_WRL,1975,4070735208,
World,OWID_WRL,1976,4144246343,
World,OWID_WRL,1977,4217863768,
World,OWID_WRL,1978,4292097452,
World,OWID_WRL,1979,4368539442,
World,OWID_WRL,1980,4447606162,
World,OWID_WRL,1981,4528777252,
World,OWID_WRL,1982,4612673388,
World,OWID_WRL,1983,4697327540,
World,OWID_WRL,1984,4782175455,
World,OWID_WRL,1985,4868943409,
World,OWID_WRL,1986,4958072773,
World,OWID_WRL,1987,5049746328,
World,OWID_WRL,1988,5141992501,
World,OWID_WRL,1989,5234431681,
World,OWID_WRL,1990,5327803039,
World,OWID_WRL,1991,5418735854,
World,OWID_WRL,1992,5505989763,
World,OWID_WRL,1993,5591544754,
World,OWID_WRL,1994,5675551219,
World,OWID_WRL,1995,5758878939,
World,OWID_WRL,1996,5842055673,
World,OWID_WRL,1997,5924787768,
World,OWID_WRL,1998,6007066661,
World,OWID_WRL,1999,6089006306,
World,OWID_WRL,2000,6171702952,
World,OWID_WRL,2001,6254936409,
World,OWID_WRL,2002,6337730260,
World,OWID_WRL,2003,6420361599,
World,OWID_WRL,2004,6503377733,
World,OWID_WRL,2005,6586970109,
World,OWID_WRL,2006,6671451961,
World,OWID_WRL,2007,6757308732,
World,OWID_WRL,2008,6844457620,
World,OWID_WRL,2009,6932766373,
World,OWID_WRL,2010,7021732097,
World,OWID_WRL,2011,7110923706,
World,OWID_WRL,2012,7201202442,
World,OWID_WRL,2013,7291793521,
World,OWID_WRL,2014,7381616193,
World,OWID_WRL,2015,7470491849,
World,OWID_WRL,2016,7558554482,
World,OWID_WRL,2017,7645617937,
World,OWID_WRL,2018,7729902735,
World,OWID_WRL,2019,7811293646,
World,OWID_WRL,2020,7887001253,
World,OWID_WRL,2021,7954448327,
World,OWID_WRL,2022,8021407128,
World,OWID_WRL,2023,8091734853,
World,OWID_WRL,2024,,8161972496
World,OWID_WRL,2025,,8231613055
World,OWID_WRL,2026,,8300678366
World,OWID_WRL,2027,,8369094274
World,OWID_WRL,2028,,8436618841
World,OWID_WRL,2029,,8503285267
World,OWID_WRL,2030,,8569124874
World,OWID_WRL,2031,,8634119287
World,OWID_WRL,2032,,8698229812
World,OWID_WRL,2033,,8761449037
World,OWID_WRL,2034,,8823784877
World,OWID_WRL,2035,,8885210154
World,OWID_WRL,2036,,8945686564
World,OWID_WRL,2037,,9005152585
World,OWID_WRL,2038,,9063572867
World,OWID_WRL,2039,,9120928347
World,OWID_WRL,2040,,9177190161
World,OWID_WRL,2041,,9232281557
World,OWID_WRL,2042,,9286110359
World,OWID_WRL,2043,,9338661289
World,OWID_WRL,2044,,9389873680
World,OWID_WRL,2045,,9439639608
World,OWID_WRL,2046,,9487889587
World,OWID_WRL,2047,,9534545896
World,OWID_WRL,2048,,9579535990
World,OWID_WRL,2049,,9622824036
World,OWID_WRL,2050,,9664378554
World,OWID_WRL,2051,,9704192256
World,OWID_WRL,2052,,9742264424
World,OWID_WRL,2053,,9778614513
World,OWID_WRL,2054,,9813251614
World,OWID_WRL,2055,,9846237505
World,OWID_WRL,2056,,9877680341
World,OWID_WRL,2057,,9907637135
World,OWID_WRL,2058,,9936164310
World,OWID_WRL,2059,,9963337025
World,OWID_WRL,2060,,9989232258
World,OWID_WRL,2061,,10013916190
World,OWID_WRL,2062,,10037466543
World,OWID_WRL,2063,,10059949970
World,OWID_WRL,2064,,10081402694
World,OWID_WRL,2065,,10101849509
World,OWID_WRL,2066,,10121317098
World,OWID_WRL,2067,,10139808317
World,OWID_WRL,2068,,10157301900
World,OWID_WRL,2069,,10173782075
World,OWID_WRL,2070,,10189241908
World,OWID_WRL,2071,,10203681537
World,OWID_WRL,2072,,10217055156
World,OWID_WRL,2073,,10229327777
World,OWID_WRL,2074,,10240485053
World,OWID_WRL,2075,,10250496430
World,OWID_WRL,2076,,10259351420
World,OWID_WRL,2077,,10267044930
World,OWID_WRL,2078,,10273556311
World,OWID_WRL,2079,,10278887417
World,OWID_WRL,2080,,10283077976
World,OWID_WRL,2081,,10286161693
World,OWID_WRL,2082,,10288205040
World,OWID_WRL,2083,,10289247289
World,OWID_WRL,2084,,10289315169
World,OWID_WRL,2085,,10288456602
World,OWID_WRL,2086,,10286708288
World,OWID_WRL,2087,,10284111334
World,OWID_WRL,2088,,10280704514
World,OWID_WRL,2089,,10276518204
World,OWID_WRL,2090,,10271565034
World,OWID_WRL,2091,,10265861632
World,OWID_WRL,2092,,10259408364
World,OWID_WRL,2093,,10252184717
World,OWID_WRL,2094,,10244185760
World,OWID_WRL,2095,,10235403564
World,OWID_WRL,2096,,10225850823
World,OWID_WRL,2097,,10215549279
World,OWID_WRL,2098,,10204489764
World,OWID_WRL,2099,,10192688992
World,OWID_WRL,2100,,10180160680